run,task,cycle,task_1,task_2,task_3,task_4,task_5
0,0,0,85.26,0.0,0.0,0.0,0.0
0,0,1,85.13,0.0,0.0,0.0,0.0
0,0,2,85.06,0.0,0.0,0.0,0.0
0,0,3,84.99,0.0,0.0,0.0,0.0
0,0,4,84.79,0.0,0.0,0.0,0.0
0,0,5,84.66,0.0,0.0,0.0,0.0
0,0,6,85.06,0.0,0.0,0.0,0.0
0,1,0,70.72,43.09,0.0,0.0,0.0
0,1,1,74.24,40.49,0.0,0.0,0.0
0,1,2,73.9,40.62,0.0,0.0,0.0
0,1,3,73.9,40.69,0.0,0.0,0.0
0,1,4,73.97,43.82,0.0,0.0,0.0
0,1,5,74.17,43.09,0.0,0.0,0.0
0,1,6,74.3,42.49,0.0,0.0,0.0
0,2,0,67.6,21.88,38.16,0.0,0.0
0,2,1,75.37,45.81,43.22,0.0,0.0
0,2,2,75.56,45.74,42.35,0.0,0.0
0,2,3,75.76,46.28,41.89,0.0,0.0
0,2,4,75.76,45.81,41.42,0.0,0.0
0,2,5,75.96,46.14,41.09,0.0,0.0
0,2,6,76.36,46.41,40.62,0.0,0.0
0,3,0,67.07,44.28,38.9,34.82,0.0
0,3,1,63.68,45.35,28.92,49.04,0.0
0,3,2,64.08,45.55,29.26,48.57,0.0
0,3,3,65.07,47.34,32.78,47.11,0.0
0,3,4,63.21,47.21,30.98,58.8,0.0
0,3,5,64.54,43.35,31.12,63.92,0.0
0,3,6,56.18,36.97,36.5,74.62,0.0
0,4,0,63.21,39.36,37.03,53.62,33.13
0,4,1,58.76,36.57,35.31,50.56,40.17
0,4,2,59.1,36.24,35.44,50.56,39.84
0,4,3,61.35,36.97,43.28,51.5,47.68
0,4,4,57.9,34.24,41.16,50.1,54.58
0,4,5,58.03,35.64,41.76,51.5,54.45
0,4,6,57.64,36.44,42.35,49.5,55.51
1,0,0,49.87,0.0,0.0,0.0,0.0
1,0,1,49.93,0.0,0.0,0.0,0.0
1,0,2,50.0,0.0,0.0,0.0,0.0
1,0,3,50.0,0.0,0.0,0.0,0.0
1,0,4,50.0,0.0,0.0,0.0,0.0
1,0,5,50.0,0.0,0.0,0.0,0.0
1,0,6,50.0,0.0,0.0,0.0,0.0
1,1,0,37.52,50.0,0.0,0.0,0.0
1,1,1,38.05,48.6,0.0,0.0,0.0
1,1,2,38.51,47.87,0.0,0.0,0.0
1,1,3,38.91,47.34,0.0,0.0,0.0
1,1,4,39.58,47.01,0.0,0.0,0.0
1,1,5,40.04,46.61,0.0,0.0,0.0
1,1,6,40.17,46.61,0.0,0.0,0.0
1,2,0,37.32,35.31,69.12,0.0,0.0
1,2,1,33.0,34.18,73.31,0.0,0.0
1,2,2,33.33,34.31,73.17,0.0,0.0
1,2,3,34.06,34.64,73.17,0.0,0.0
1,2,4,34.2,35.31,72.84,0.0,0.0
1,2,5,34.79,35.64,72.78,0.0,0.0
1,2,6,35.26,35.84,72.64,0.0,0.0
1,3,0,44.62,35.9,55.38,49.37,0.0
1,3,1,42.3,34.57,51.26,54.55,0.0
1,3,2,42.23,34.77,51.73,54.02,0.0
1,3,3,42.36,35.11,52.26,53.69,0.0
1,3,4,42.5,35.24,52.79,53.42,0.0
