run,task,cycle,task_1,task_2,task_3,task_4,task_5
0,0,0,76.29,0.0,0.0,0.0,0.0
0,0,1,84.73,0.0,0.0,0.0,0.0
0,0,2,85.99,0.0,0.0,0.0,0.0
0,0,3,87.05,0.0,0.0,0.0,0.0
0,0,4,87.92,0.0,0.0,0.0,0.0
0,0,5,87.45,0.0,0.0,0.0,0.0
0,0,6,87.92,0.0,0.0,0.0,0.0
0,1,0,73.31,50.4,0.0,0.0,0.0
0,1,1,72.58,53.39,0.0,0.0,0.0
0,1,2,72.58,52.79,0.0,0.0,0.0
0,1,3,72.91,52.59,0.0,0.0,0.0
0,1,4,73.44,52.06,0.0,0.0,0.0
0,1,5,73.71,51.86,0.0,0.0,0.0
0,1,6,73.9,51.73,0.0,0.0,0.0
0,2,0,64.74,29.26,41.36,0.0,0.0
0,2,1,65.67,29.92,40.76,0.0,0.0
0,2,2,66.0,30.39,40.09,0.0,0.0
0,2,3,66.8,30.72,39.49,0.0,0.0
0,2,4,67.07,31.12,38.83,0.0,0.0
0,2,5,67.2,31.18,37.9,0.0,0.0
0,2,6,67.6,31.72,37.63,0.0,0.0
0,3,0,66.73,37.63,36.3,46.25,0.0
0,3,1,62.02,27.53,40.43,59.34,0.0
0,3,2,62.62,27.66,41.02,59.0,0.0
0,3,3,63.08,27.39,41.69,58.27,0.0
0,3,4,63.61,27.79,41.89,57.81,0.0
0,3,5,63.75,27.86,42.02,57.48,0.0
0,3,6,64.14,27.53,42.15,57.08,0.0
0,4,0,63.01,28.52,40.29,28.17,36.32
0,4,1,63.35,28.99,40.29,29.1,35.72
0,4,2,63.48,29.79,40.43,29.77,35.06
0,4,3,63.75,30.25,40.69,30.43,34.59
0,4,4,63.88,30.59,41.16,31.03,34.2
0,4,5,64.14,31.05,41.29,31.43,33.67
0,4,6,64.61,31.45,41.36,31.96,33.33
1,0,0,51.0,0.0,0.0,0.0,0.0
1,0,1,50.86,0.0,0.0,0.0,0.0
1,0,2,57.57,0.0,0.0,0.0,0.0
1,0,3,59.43,0.0,0.0,0.0,0.0
1,0,4,59.63,0.0,0.0,0.0,0.0
1,0,5,59.5,0.0,0.0,0.0,0.0
1,0,6,59.16,0.0,0.0,0.0,0.0
1,1,0,33.93,53.32,0.0,0.0,0.0
1,1,1,34.46,52.73,0.0,0.0,0.0
1,1,2,34.99,51.66,0.0,0.0,0.0
1,1,3,36.72,51.06,0.0,0.0,0.0
1,1,4,37.78,50.33,0.0,0.0,0.0
1,1,5,38.71,49.67,0.0,0.0,0.0
1,1,6,39.04,49.47,0.0,0.0,0.0
1,2,0,34.93,39.69,63.88,0.0,0.0
1,2,1,33.53,35.37,67.07,0.0,0.0
1,2,2,34.26,35.77,66.8,0.0,0.0
1,2,3,34.33,36.1,66.4,0.0,0.0
1,2,4,34.79,36.64,65.8,0.0,0.0
1,2,5,34.86,37.17,65.54,0.0,0.0
1,2,6,35.46,37.43,65.07,0.0,0.0
1,3,0,38.38,40.23,35.46,44.72,0.0
1,3,1,41.24,44.68,40.31,52.96,0.0
1,3,2,41.37,44.35,41.1,52.89,0.0
1,3,3,41.1,44.35,41.77,52.89,0.0
1,3,4,40.9,40.69,48.47,60.53,0.0
1,3,5,40.9,40.96,49.07,60.0,0.0
1,3,6,40.9,41.22,49.47,59.87,0.0
1,4,0,41.7,37.43,47.48,52.76,50.83
1,4,1,40.64,29.85,38.05,44.12,68.04
1,4,2,39.04,31.91,39.24,50.37,69.3
1,4,3,40.44,31.25,42.16,50.03,72.62
1,4,4,40.5,31.18,42.36,50.23,72.76
1,4,5,43.63,29.19,42.83,51.5,72.62
1,4,6,43.03,30.45,42.7,51.69,73.62
2,0,0,74.47,0.0,0.0,0.0,0.0
2,0,1,74.67,0.0,0.0,0.0,0.0
2,0,2,76.0,0.0,0.0,0.0,0.0
2,0,3,76.53,0.0,0.0,0.0,0.0
2,0,4,76.66,0.0,0.0,0.0,0.0
2,0,5,76.66,0.0,0.0,0.0,0.0
2,0,6,78.79,0.0,0.0,0.0,0.0
2,1,0,51.93,62.26,0.0,0.0,0.0
2,1,1,52.19,62.13,0.0,0.0,0.0
2,1,2,53.19,61.59,0.0,0.0,0.0
2,1,3,63.36,74.02,0.0,0.0,0.0
2,1,4,63.63,74.15,0.0,0.0,0.0
2,1,5,64.16,73.95,0.0,0.0,0.0
2,1,6,64.23,75.75,0.0,0.0,0.0
2,2,0,55.39,51.96,34.97,0.0,0.0
2,2,1,51.93,62.13,33.58,0.0,0.0
2,2,2,51.93,62.72,33.11,0.0,0.0
2,2,3,51.99,63.12,32.71,0.0,0.0
2,2,4,52.06,64.05,32.18,0.0,0.0
2,2,5,54.72,68.37,34.44,0.0,0.0
2,2,6,55.05,68.77,34.04,0.0,0.0
2,3,0,54.52,67.71,19.75,21.99,0.0
2,3,1,54.85,67.77,20.61,21.0,0.0
2,3,2,54.85,67.84,20.81,20.27,0.0
2,3,3,54.79,67.91,21.34,19.47,0.0
2,3,4,54.52,68.11,21.81,19.2,0.0
2,3,5,54.79,68.04,22.07,18.8,0.0
2,3,6,54.99,68.24,22.41,18.34,0.0
2,4,0,52.79,65.38,28.92,8.04,33.33
2,4,1,50.4,64.19,38.23,22.39,50.86
2,4,2,53.12,63.19,38.63,18.27,51.86
2,4,3,53.46,63.26,38.63,18.27,51.79
2,4,4,51.6,62.66,38.96,20.8,56.24
2,4,5,51.93,62.72,39.03,21.0,56.11
2,4,6,51.99,62.66,39.16,21.0,55.91
3,0,0,83.19,0.0,0.0,0.0,0.0
3,0,1,83.12,0.0,0.0,0.0,0.0
3,0,2,84.12,0.0,0.0,0.0,0.0
3,0,3,88.31,0.0,0.0,0.0,0.0
3,0,4,88.5,0.0,0.0,0.0,0.0
3,0,5,87.64,0.0,0.0,0.0,0.0
3,0,6,88.31,0.0,0.0,0.0,0.0
3,1,0,77.34,49.57,0.0,0.0,0.0
3,1,1,81.66,52.43,0.0,0.0,0.0
3,1,2,82.26,52.23,0.0,0.0,0.0
3,1,3,82.19,51.5,0.0,0.0,0.0
3,1,4,82.66,50.96,0.0,0.0,0.0
3,1,5,82.92,50.7,0.0,0.0,0.0
3,1,6,82.99,50.3,0.0,0.0,0.0
3,2,0,63.19,38.27,48.87,0.0,0.0
3,2,1,63.52,45.71,52.39,0.0,0.0
3,2,2,64.12,46.25,51.8,0.0,0.0
3,2,3,64.65,46.71,51.13,0.0,0.0
3,2,4,64.98,46.78,50.2,0.0,0.0
3,2,5,65.25,46.71,49.34,0.0,0.0
3,2,6,65.71,47.18,48.67,0.0,0.0
3,3,0,63.46,40.33,38.56,39.56,0.0
3,3,1,64.19,27.44,31.12,53.52,0.0
3,3,2,65.98,27.91,31.05,52.93,0.0
3,3,3,66.84,28.11,31.38,51.86,0.0
3,3,4,67.71,28.77,31.18,51.26,0.0
3,3,5,69.1,29.57,31.45,50.2,0.0
3,3,6,69.57,29.97,31.18,49.47,0.0
3,4,0,74.68,38.27,31.65,28.92,35.99
3,4,1,74.35,37.67,31.72,29.39,35.86
3,4,2,73.82,37.34,31.58,30.39,35.26
3,4,3,67.97,45.65,41.22,45.35,61.02
3,4,4,65.51,43.52,38.1,44.75,67.33
3,4,5,66.31,42.39,41.22,44.28,68.66
3,4,6,66.31,41.66,41.29,44.61,68.13
4,0,0,79.4,0.0,0.0,0.0,0.0
4,0,1,82.13,0.0,0.0,0.0,0.0
4,0,2,82.19,0.0,0.0,0.0,0.0
4,0,3,82.39,0.0,0.0,0.0,0.0
4,0,4,84.19,0.0,0.0,0.0,0.0
4,0,5,84.32,0.0,0.0,0.0,0.0
4,0,6,84.39,0.0,0.0,0.0,0.0
4,1,0,59.87,52.99,0.0,0.0,0.0
4,1,1,60.73,52.53,0.0,0.0,0.0
4,1,2,61.53,52.33,0.0,0.0,0.0
4,1,3,67.24,52.66,0.0,0.0,0.0
4,1,4,68.04,51.93,0.0,0.0,0.0
4,1,5,68.37,51.4,0.0,0.0,0.0
4,1,6,68.84,50.8,0.0,0.0,0.0
4,2,0,64.05,27.39,36.39,0.0,0.0
4,2,1,65.45,29.99,34.46,0.0,0.0
4,2,2,66.25,31.25,31.81,0.0,0.0
4,2,3,66.38,32.38,30.21,0.0,0.0
4,2,4,67.04,33.18,28.15,0.0,0.0
4,2,5,67.44,35.04,27.16,0.0,0.0
4,2,6,67.97,36.04,26.29,0.0,0.0
4,3,0,60.0,46.81,10.69,37.57,0.0
4,3,1,60.13,47.67,10.49,36.3,0.0
4,3,2,60.0,48.6,10.29,35.11,0.0
4,3,3,59.93,50.07,10.09,34.31,0.0
4,3,4,59.2,50.53,9.89,33.44,0.0
4,3,5,58.8,51.6,9.69,32.58,0.0
4,3,6,58.6,52.79,9.5,31.32,0.0
4,4,0,55.28,53.12,9.16,22.47,21.01
4,4,1,55.42,52.79,8.96,22.74,21.28
4,4,2,55.48,52.39,8.96,23.94,20.94
4,4,3,55.22,52.79,9.03,24.4,20.48
4,4,4,55.55,53.19,9.1,24.73,20.61
4,4,5,55.68,53.06,9.03,25.2,20.41
4,4,6,55.81,52.93,8.83,25.47,20.35
