run,task,cycle,task_1,task_2,task_3,task_4,task_5,task_6
0,0,0,65.78,0.0,0.0,0.0,0.0,0.0
0,0,1,78.81,0.0,0.0,0.0,0.0,0.0
0,0,2,77.93,0.0,0.0,0.0,0.0,0.0
0,0,3,82.07,0.0,0.0,0.0,0.0,0.0
0,0,4,79.26,0.0,0.0,0.0,0.0,0.0
0,1,0,73.48,58.82,0.0,0.0,0.0,0.0
0,1,1,76.89,74.12,0.0,0.0,0.0,0.0
0,1,2,78.81,74.41,0.0,0.0,0.0,0.0
0,1,3,80.15,78.97,0.0,0.0,0.0,0.0
0,1,4,80.59,79.26,0.0,0.0,0.0,0.0
0,2,0,71.85,36.18,85.17,0.0,0.0,0.0
0,2,1,79.26,17.79,93.27,0.0,0.0,0.0
0,2,2,78.37,15.0,93.73,0.0,0.0,0.0
0,2,3,76.89,15.15,94.5,0.0,0.0,0.0
0,2,4,77.48,15.15,96.02,0.0,0.0,0.0
0,3,0,80.59,36.47,60.7,65.07,0.0,0.0
0,3,1,81.78,21.03,50.31,78.66,0.0,0.0
0,3,2,75.11,13.97,54.43,85.22,0.0,0.0
0,3,3,76.15,16.03,53.21,87.76,0.0,0.0
0,3,4,76.89,17.06,56.12,85.97,0.0,0.0
0,4,0,63.85,30.0,50.46,46.72,75.26,0.0
0,4,1,58.22,24.26,56.12,42.84,88.54,0.0
0,4,2,56.59,26.76,55.96,42.84,88.54,0.0
0,4,3,57.04,26.76,54.13,45.22,87.18,0.0
0,4,4,56.89,27.06,54.59,44.78,86.88,0.0
0,5,0,74.81,20.0,42.97,36.12,45.55,45.81
0,5,1,72.0,22.94,45.26,31.79,46.91,52.99
0,5,2,74.07,18.82,50.76,16.87,41.03,56.14
0,5,3,73.78,24.41,57.03,34.48,44.04,60.03
0,5,4,76.44,17.35,57.65,29.1,38.46,65.27
1,0,0,59.16,0.0,0.0,0.0,0.0,0.0
1,0,1,61.92,0.0,0.0,0.0,0.0,0.0
1,0,2,60.17,0.0,0.0,0.0,0.0,0.0
1,0,3,60.32,0.0,0.0,0.0,0.0,0.0
1,0,4,60.17,0.0,0.0,0.0,0.0,0.0
1,1,0,50.44,60.91,0.0,0.0,0.0,0.0
1,1,1,34.01,86.68,0.0,0.0,0.0,0.0
1,1,2,27.91,95.61,0.0,0.0,0.0,0.0
1,1,3,24.71,96.19,0.0,0.0,0.0,0.0
1,1,4,25.0,96.19,0.0,0.0,0.0,0.0
1,2,0,43.75,57.69,16.95,0.0,0.0,0.0
1,2,1,33.87,58.27,54.05,0.0,0.0,0.0
1,2,2,32.85,56.52,54.81,0.0,0.0,0.0
1,2,3,35.03,56.37,56.95,0.0,0.0,0.0
1,2,4,35.47,57.1,57.56,0.0,0.0,0.0
1,3,0,27.76,58.42,16.95,64.43,0.0,0.0
1,3,1,23.69,57.39,16.49,78.28,0.0,0.0
1,3,2,26.89,53.15,11.3,81.63,0.0,0.0
1,3,3,26.02,57.25,9.31,86.59,0.0,0.0
1,3,4,26.02,58.42,10.08,87.32,0.0,0.0
1,4,0,16.13,57.1,18.47,50.15,44.35,0.0
1,4,1,13.37,58.13,18.17,44.9,53.87,0.0
1,4,2,10.17,59.74,16.34,43.73,60.71,0.0
1,4,3,12.5,61.93,13.44,43.44,64.14,0.0
1,4,4,9.88,62.23,15.11,43.73,65.48,0.0
1,5,0,17.88,45.68,17.1,46.94,29.02,63.98
1,5,1,20.2,31.33,10.08,41.84,17.56,83.43
1,5,2,15.26,37.48,8.85,40.23,18.01,86.93
1,5,3,17.73,30.45,6.87,41.84,17.26,88.15
